"State,Airport,Type"
"TX,HRL,Origin"
"TX,IAH,Origin"
"TX,LBB,Origin"
"TX,LRD,Origin"
"TX,MAF,Origin"
"TX,MFE,Origin"
"TX,SAT,Origin"
"TX,SJT,Origin"
"TX,SPS,Origin"
"TX,TYR,Origin"
"TX,VCT,Origin"
"UT,CDC,Origin"
"UT,CNY,Origin"
"UT,OGD,Origin"
"UT,PVU,Origin"
"UT,SGU,Origin"
"UT,SLC,Origin"
"UT,VEL,Origin"
"VA,CHO,Origin"
"VA,DCA,Origin"
"VA,IAD,Origin"
"VA,LYH,Origin"
"VA,ORF,Origin"
"VA,PHF,Origin"
"VA,RIC,Origin"
"VA,ROA,Origin"
"VA,SHD,Origin"
"VI,STT,Origin"
"VI,STX,Origin"
"VT,BTV,Origin"
"WA,ALW,Origin"
"WA,BLI,Origin"
"WA,EAT,Origin"
"WA,GEG,Origin"
"WA,PAE,Origin"
"WA,PSC,Origin"
"WA,PUW,Origin"
"WA,SEA,Origin"
"WA,YKM,Origin"
"WI,ATW,Origin"
"WI,CWA,Origin"
"WI,EAU,Origin"
"WI,GRB,Origin"
"WI,LSE,Origin"
"WI,MKE,Origin"
"WI,MSN,Origin"
"WI,RHI,Origin"
"WV,CKB,Origin"
"WV,CRW,Origin"
"WV,HTS,Origin"
"WV,LWB,Origin"
"WY,COD,Origin"
"WY,CPR,Origin"
"WY,CYS,Origin"
"WY,GCC,Origin"
"WY,JAC,Origin"
"WY,LAR,Origin"
"WY,RIW,Origin"
"WY,RKS,Origin"
"WY,SHR,Origin"
